
#$Filter:op09
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	op09
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:61.2, mW
#$WAVELENGTH:532,nm
#$OBJECT:635, on wires	=	=	=	=
angle	ref	signal	signal_std	filter	Time
21.0	0.15625	0.0220115653807	0.00463018521085	2	1510218873.4296708
21.5	0.15625	0.0239428282182	0.00450050742178	2	1510218874.4385512
22.0	0.15625	0.0220521907216	0.00547165464403	2	1510218875.4359844
22.0	0.15625	0.013489182075	0.00958804830712	2	1510218876.4342296
22.5	0.15625	0.0217699579832	0.00532879403978	2	1510218877.4301004
22.5	0.15625	0.0236280762305	0.00496255846081	2	1510218878.4256368
23.0	0.1546875	0.0211036744564	0.00501578978107	2	1510218879.433878
23.0	0.15625	0.0136977294128	0.0099944784713	2	1510218880.430621
23.5	0.15625	0.0198969551282	0.00424876360692	2	1510218881.4264483
24.0	0.15625	0.0206846488595	0.00425801242813	2	1510218882.4220397
24.0	0.15625	0.0199729381443	0.00488756399766	2	1510218883.4332876
24.5	0.159375	0.0207257478632	0.00370723532434	2	1510218884.4356146
24.5	0.1546875	0.0194288015464	0.00362891036831	2	1510218885.4338539
25.0	0.15625	0.0165534404659	0.00532896361271	2	1510218886.430717
25.0	0.15625	0.0193765006002	0.00431863344176	2	1510218887.433545
25.5	0.15625	0.0141480342137	0.00764583257676	2	1510218888.4425342
26.0	0.15625	0.0191976950355	0.0040914033015	2	1510218889.4302635
26.0	0.15625	0.020211985194	0.00363813598189	2	1510218890.4256763
26.5	0.15625	0.0189042592114	0.00365979817115	2	1510218891.4219706
26.5	0.1546875	0.0166960534214	0.00432086023929	2	1510218892.4377937
27.0	0.15625	0.017002688172	0.00436442137308	2	1510218893.436785
27.5	0.1609375	0.0149311155914	0.00452917103633	2	1510218894.4342113
27.5	0.153125	0.0146921355499	0.00367089037297	2	1510218895.4303377
28.0	0.1546875	0.016087560024	0.0033969844564	2	1510218896.4261994
28.0	0.153125	0.0160805626598	0.00388994217007	2	1510218897.4341457
